Pasal,Isi,Bab,Bagian
Pasal 656,"Tempat air hujan, sumur, kakus, selokan dan sebagainya, yang merupakan milik bersama antara mereka yang bertetangga, harus dipelihara dan dibersihkan atas biaya semua pemilik.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 657,Pembersihan kakus milik bersama harus dilakukan secara bergiliran pekarangan demi pekarangan.,Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 658,"Semua parit atau selokan antara dua pekarangan harus dianggap sebagai milik bersama, bila tidak ada tanda yang menyatakan sebaliknya.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 659,"Sebagai tanda bahwa parit atau selokan itu bukan milik bersama, antara lain adalah bahwa tanggul atau tanah timbunannya hanya terdapat pada satu sisi dan parit atau selokan itu. Dalam hal yang demikian, parit atau selokan itu dianggap seluruhnya milik si pemilik pekarangan, pada sisi mana terdapat timbunan tanah.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 660,Parit atau selokan milik bersama harus dipelihara dengan biaya bersama.,Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 661,"Tiap pemilik pekarangan yang berbatasan dengan parit atau selokan milik bersama boleh mencari ikan, berlayar, memberi minum kepada ternaknya di parit atau selokan itu dan mengambil air untuk keperluan sendiri dari situ.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 662,"Tiap pagar tanaman yang menjadi batas antara dua pekarangan harus dianggap sebagai milik bersama, kecuali bila memang ada suatu bukti pemilikan, besit atau tanda yang menyatakan sebaliknya. Pohon-pohon yang tumbuh di sepanjang pagar itu adalah milik bersama, sebagaimana pagar itu sendiri, dan masing-masing pemilik berhak menuntut supaya pohon- pohon itu ditebang.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 663,"Tetangga yang satu boleh menuntut tetangga yang lain supaya membuat pagar yang baru dengan biaya bersama, jika pagar lama, yang merupakan milik bersama, diperuntukkan guna menunjuk batas pekarangan mereka.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 664,"Sebagai tanda bahwa pagar itu bukan milik bersama, antara lain adalah bahwa pagar itu hanya menutup salah satu dari kedua pekarangan itu.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 665,"Menanam pohon atau pagar hidup yang tinggi tumbuhnya dilarang, kecuali jika pohon atau pagar itu ditanam dengan mengambil jarak menurut peraturan khusus atau kebiasaan yang berlaku dalam hal itu, dan bila tidak ada peraturan dan kebiasaan, dengan mengambil jarak dua puluh telapak, dari garis batas kedua pekarangan, sepanjang mengenai pohon-pohon yang tinggi dan lima telapak sepanjang mengenai pagar hidup.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 666,"Tetangga mempunyai hak untuk menuntut agar pohon dan pagar hidup yang ditanam dalam jarak yang lebih dekat daripada jarÃÂ k tersebut di atas dimusnahkan. Orang yang di atas pekarangannya menjulur dalam pohon tetangganya,maka ia menuntut agar tetangganya menolaknya setelah ada teguran pertama dan asalkan ia sendin tidak menginjak pekarangan si tetangga.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 667,"Pemilik sebidang tanah atau pekarangan yang terletak di antara tanah-tanah orang lain sedemikian rupa sehingga ia tidak mempunyai jalan keluar sampai ke jalan umum atau perairan umum, berhak menuntut kepada pemilik-pemilik pekarangan tetangganya, supaya diberi jalan keluar untuknya guna kepentingan tanah atau pekarangannya dengan kewajiban untuk membayar ganti rugi, seimbang dengan kerugian yang diakibatkannya.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 668,"Jalan keluar ini harus dibuat pada sisi tanah atau pekarangan yang terdekat ke jalan atau perairan umum, tetapi sebaliknya diambil arah yang mengakibatkan kerugian yang sekecil- kecilnya terhadap tanah yang diizinkan untuk dilalui itu.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 669,"Bila hak atas ganti rugi tersebut pada akhir Pasal 667 telah hapus karena lewat waktu, maka jalan keluar itu tetap terus berlangsung.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 670,"Jalan keluar yang diberikan itu berakhir pada saat tidak diperlukan lagi dengan berakhirnya keadaan termaksud dalam Pasal 667 dan siapa pun tidak bisa menuntut lewat waktu, betapa lama pun jalan keluar ini ada.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 671,"Jalan setapak, lorong atau jalan besar milik bersama dan beberapa tetangga, yang digunakan untuk jalan keluar bersama, tidak boleh dipindahkan, dirusak atau dipakai untuk keperluan lain dari tujuan yang telah ditetapkan, kecuali dengan izin semua yang berkepentingan.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 672,"Hak-hak dan kewajiban-kewajiban yang diadakan demi kepentingan umum atau persekutuan mengenai jalan yang dilalui dengan kaki dan jalan untuk berburu sepanjang sungai yang dapat dilalui dengan perahu atau rakit mengenai pembuatan atau perbaikan jalan, tanggul dan pekerjaan umum atau persekutuan lain, diatur dengan undang-undang dan peraturan-peraturan khusus.",Hak Dan Kewajiban Antara Para Pemilik Pekarangan Yang Bertetangga,Tidak Terdapat Dalam Bagian
Pasal 673,"Kerja rodi yang telah diakui oleh pemegang kekuasaan tinggi tetap ada  ketentuan-ketentuan dalam kitab ini tidak membawa perubahan tentang ini. Pemerintah berhak mengadakan ketentuan-ketentuan lebih lanjut mengenai kerja rodi, bila hal itu dipandang perlu.",Kerja Rodi,Tidak Terdapat Dalam Bagian
Pasal 674,"Pengabdian pekarangan adalah suatu beban yang diletakkan atas sebidang pekarangan seseorang untuk digunakan dan demi manfaat pekarangan milik orang lain. Baik mengenai bebannya maupun mengenai manfaatnya, pengabdian itu boleh dihubungkan dengan pribadi seseorang.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 675,Setiap pengabdian pekarangan terdiri dari kewajiban untuk membiarkan sesuatu atau tidak berbuat sesuatu.,Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 676,Pengabdian pekarangan tidak memandang pekarangan yang satu lebih penting dari yang lain.,Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 677,"Pengabdian pekarangan itu berlangsung terus atau tidak berlangsung terus. Pengabdian pekarangan yang berlangsung terus adalah yang penggunaannya berlangsung terus atau dapat berlangsung terus, tanpa memerlukan perbuatan manusia, seperti hak mengalirkan air, hak atas selokan, hak atas pemandangan ke luar, dan sebagainya. Pengabdian pekarangan yang tidak berlangsung terus adalah yang pelaksanaannya memerlukan perbuatan manusia, seperti hak melintasi pekarangan, hak mengambil air, hak menggembalakan ternak, dan sebagainya.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 678,"Pengabdian pekarangan tampak atau tidak tampak. Pengabdian pekarangan tampak adalah yang ada tanda-tanda lahiriahnya, seperti pintu, jendela, pipa air dan lain-lain semacam itu. Pengabdian pekarangan tidak tampak adalah yang tidak ada tanda-tanda lahiriah mengenai adanya, seperti larangan membangun di atas pekarangan, larangan membangun lebih tinggi dari ketinggian tertentu, hak menggembalakan ternak dan lain-lainnya yang memerlukan suatu perbuatan manusia.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 679,"Bila seseorang membangun kembali sebuah tembok atau gedung, maka bagi pemberi dan penerima beban pengabdian, pengabdian terhadap tembok atau gedung yang baru tetap berjalan tanpa menjadi lebih berat karenanya, asal pembangunan kembali itu dilaksanakan sebelum pengabdian pekarangan itu lewat waktu.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 680,"Barangsiapa mempunyai hak pengabdian pekarangan atas pemandangan atau penerangan, diperbolehkan membuat jendela atau penerangan sebanyak yang disukainya, tetapi setelah ia membuatnya atau menggunakan haknya, ÃÂ­a tidak boleh menambah jumlahnya. Yang dimaksudkan dengan penerangan hanya yang diperlukan, tanpa pemandangan.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 681,"Setiap orang berhak mendirikan gedung atau bangunan lain setinggi yang disukainya, asal ketinggian gedung atau bangunan itu tidak melanggar larangan demi kepentingan pekarangan lain. Dalam hal yang demikian, pemilik pekarangan memberi beban pengabdian berhak mencegah peninggian atau menyuruh mengambil semua yang dilarang menurut dasar haknya.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 682,"Yang dimaksud dengan hak pengabdian pekarangan mengalirkan air dan meneteskan air adalah semata-mata hak mengalirkan air bersih, bukan air kotoran.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 683,Hak pengabdian selokan adalah untuk mengalirkan air dan kotoran.,Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 684,"Pemilik pekarangan yang mempunyai hak memasang balok atau jangkar dalam tembok orang lain, berwenang mengganti balok atau jangkar yang telah rapuh, tetapi ÃÂ­a tidak boleh menambah jumlahnya atau memindahkan tempatnya.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 685,"Barang siapa mempunyai hak untuk berlayar di perairan pekarangan tetangga, harus ikut membayar biaya yang diperlukan untuk memelihara agar perairan itu tetap dapat dilayari, kecuali jika ia lebih suka melepaskan haknya tersebut.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 686,"Hak pengabdian pekarangan mengenai jalan untuk kaki adalah hak untuk melintasi pekarangan orang lain dengan jalan kaki; Hak mengenai jalan kuda atau jalan ternak adalah hak untuk naik kuda atau menggiring ternak melalui jalan itu.Hak mengenai jalan kendaraan adalah hak untuk melintas dengan kendaraan. Bila lebar jalan untuk jalan kaki, jalan ternak atau jalan kendaraan tidak ditentukan berdasarkan hak pengabdian, maka lebarnya ditentukan sesuai dengan peraturan khusus atau kebiasaan setempat. Hak pengabdian pekarangan mengenai jalan kuda atau jalan ternak mencakup juga hak pengabdian atas jalan untuk jalan kaki; hak pengabdian mengenai jalan kendaraan, mencakup juga hak pengabdian mengenai jalan kuda atau jalan ternak dan jalan untuk jalan kaki. ",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 687,Hak pengabdian pekarangan mengenai air ledeng ialah hak untuk mengalirkan air dari atau melalui pekarangan tetangga ke pekarangannya.,Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 688,"Barangsiapa mempunyai hak pengabdian pekarangan, berhak membuat segala perlengkapan yang diperlukan untuk penggunaan dan pemeliharaan hak pengabdian pekarangan itu.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 689,Dalam hal pemilik pekarangan penerima beban menurut dasar hak pengabdian diharuskan membiayai perlengkapan yang diperlukan untuk penggunaan dan pemeliharaan hak pengabdian pekarangan  maka ia sewaktu-waktu berhak membebaskan diri dari kewajiban itu dengan jalan menyerahkan kepada pemilik pekarangan pemberi beban itu bagian dari pekarangannya yang benar-benar diperlukan guna memungkinkan penggunaan hak tersebut.,Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 690,"Bila pekarangan pemberi beban dibagi, maka hak pengabdian pekarangan tetap melekat pada tiap-tiap bagian tanpa memperberat beban pekarangan penerima beban.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 691,"Barangsiapa mempunyai hak pengabdian pekarangan, hanya boleh menggunakannya sesuai dengan dasar hak yang ada padanya dalam hal tidak ada dasar hak, menurut peraturan dan",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 692,"Pemilik pekarangan penerima beban tidak boleh berbuat sesuatu yang mengurangi atau merintangi penggunaan pengabdian pekarangan. Ia tidak boleh mengubah keadaan tempat atau memindahkan tempat pengabdian pekarangan ke tempat lain dari tempat semula, kecuali jika perubahan atau pemindahan itu dilakukan tanpa merugikan pemilik pekarangan pemberi beban.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 693,Barangsiapa mempunyai hak pengabdian pekarangan dianggap mempunyai segala sesuatu yang diperlukan untuk menggunakannya dengan cara memberikan beban yang seringan-ringannya bagi pemilik pekarangan penerima beban. Demikian pula hak mengambil air dari sumber milik orang lain meliputi hak untuk memasuki tempat tersebut dalam pekarangan penerima beban.,Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 694,"Bila pekarangan penerima beban dibagi, maka tetaplah pengabdian pekarangan membebani tiap-tiap bagian, sekedar diperlukan untuk penggunaannya.",Pengabdian Pekarangan,Sifat Dan Jenis Pengabdian Pekarangan
Pasal 695,Pengabdian pekarangan lahir karena suatu dasar hak atau karena lewat waktu.,Pengabdian Pekarangan,Lahirnya Pengabdian Pekarangan
Pasal 696,Dasar hak yang melahirkan suatu pengabdian pekarangan harus diumumkan menurut cara yang ditentukan dalam Pasal 620.,Pengabdian Pekarangan,Lahirnya Pengabdian Pekarangan
Pasal 697,Pengabdian pekarangan yang berlangsung terus dan tampak dapat diperoleh karena lewat waktu atau karena suatu dasar hak.,Pengabdian Pekarangan,Lahirnya Pengabdian Pekarangan
Pasal 698,"Bagi seseorang yang pekarangannya Iebih rendah letaknya dan menggunakan air sumber dari pekarangan lain yang lebih tinggi tempatnya, tenggang lewat waktu baru mulai pada saat bangunan yang diperuntukkan guna melancarkan terjun dan mengalirnya air ke pekarangannya selesai dibuat.",Pengabdian Pekarangan,Lahirnya Pengabdian Pekarangan
Pasal 699,"Pengabdian pekarangan yang berlangsung terus dan sekaligus tidak tampak, demikian pula tidak berlangsung terus, baik yang tampak maupun yang tidak tampak, hanya dapat diperoleh karena suatu alasan hak. Penikmatan pengabdian pekarangan seperti itu, meskipun telah berjalan bertahun-tahun lamanya, tidaklah cukup guna memperoleh hak tersebut.",Pengabdian Pekarangan,Lahirnya Pengabdian Pekarangan
Pasal 700,"Bila terbukti bahwa beberapa bidang pekarangan yang sekarang terpisah dahulunya adalah milik satu orang dan pemilik ini telah menciptakan keadaan yang sedemikian rupa dalam pekarangannya, sehingga seakan-akan tercipta pengabdian yang berlangsung terus dan tampak, maka penciptaan ini dapat dianggap sebagai dasar hak atas pengabdian pekarangan.",Pengabdian Pekarangan,Lahirnya Pengabdian Pekarangan
Pasal 701,"Bila seorang pemilik dua bidang pekarangan yang sewaktu diperolehnya memperlihatkan tanda, bahwa di antara kedua pekarangan itu dahulu ada pengabdian pekarangan, kemudian memindahtangankan satu pekarangan tersebut, dan perjanjian penyerahan tidak memuat ketentuan tentang pengabdian pekarangan, maka pengabdian ini tetap berlaku untuk pekarangan yang dipindahtangankan, hak pekarangan pemberi beban maupun penerima beban.",Pengabdian Pekarangan,Lahirnya Pengabdian Pekarangan
Pasal 702,Salah seorang pemilik peserta sebidang pekarangan dapat memperoleh hak pengabdian seluruh pekarangan milik bersama dengan perbuatannya sendiri tanpa setahu pemilik peserta lainnya.,Pengabdian Pekarangan,Lahirnya Pengabdian Pekarangan
Pasal 703,Pengabdian pekarangan berakhir bila pekarangan tersebut berada dalam keadaan sedemikian rupa sehingga tidak lagi dapat digunakan.,Pengabdian Pekarangan,Berakhirnya Pengabdian Pekarangan
Pasal 704,"Bila pekarangan penerima beban atau pekarangan pemberi beban belum sama sekali musnah atau rusak, pengabdian pekarangan tetap berjalan sepanjang keadaan pekarangan mengizinkan.",Pengabdian Pekarangan,Berakhirnya Pengabdian Pekarangan
Pasal 705,"Pengabdian pekarangan yang berakhir karena sebab yang disebutkan dalam Pasal 703, akan hidup kembali jika keadaan benda telah kembali sedemikian rupa Sehingga dapat digunakan lagi, kecuali jika keadaan tadi telah berlangsung begitu lama, sehingga karena lewat waktu menurut Pasal 707, pengabdian gugur.",Pengabdian Pekarangan,Berakhirnya Pengabdian Pekarangan
Pasal 706,"Semua pengabdian pekarangan berakhir, bila pekarangan pemberi beban dan pekarangan penerima beban bergabung menjadi milik satu orang, tanpa mengurangi ketentuan Pasal 701.",Pengabdian Pekarangan,Berakhirnya Pengabdian Pekarangan
Pasal 707,Pengabdian pekarangan juga berakhir bila selama tiga puluh tahun berturut-turut tidak pernah digunakan. Tenggang lewat waktu tiga puluh tahun ini mulai berjalan pada hari dilakukan suatu perbuatan yang nyata-nyata bertentangan dengan pengabdian.,Pengabdian Pekarangan,Berakhirnya Pengabdian Pekarangan
Pasal 708,"Bila pekarangan pemberi beban dalam keadaan sedemikian rupa, sehingga tidak mungkin digunakan pengabdian pekarangan itu, maka tenggang waktu lewat waktu itu adalah tiga puluh tahun terhitung mulai saat pekarangan itu seharusnya dapat diperbaiki, sehingga memungkinkan lagi penggunaan pengabdian itu.",Pengabdian Pekarangan,Berakhirnya Pengabdian Pekarangan
Pasal 709,"Cara menggunakan pengabdian pekarangan, berlewat waktu juga dengan cara yang sama seperti pengabdian pekarangan itu sendiri.",Pengabdian Pekarangan,Berakhirnya Pengabdian Pekarangan
Pasal 710,"Bila pekarangan pemberi beban dimiliki oleh beberapa orang secara tak terbagi, penikmatan oleh salah seorang pemilik cukup untuk mencegah terjadinya lewat waktu terhadap pemilik- pemilik lain.",Pengabdian Pekarangan,Berakhirnya Pengabdian Pekarangan
Pasal 711,Hak numpang karang adalah hak kebendaan untuk mempunyai gedung bangunan atau tanaman di atas tanah orang lain.,Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 712,"Barangsiapa mempunyai hak numpang karang atas sebidang pekarangan, boleh mengalihkannya kepada orang lain atau memberikannya dengan hipotek. Ia juga boleh membebani pekarangan tadi dengan pengabdian pekarangan tetapi hanya untuk jangka waktu selama ia boleh menikmati haknya.",Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 713,Alas hak yang melahirkan hak numpang karang harus diumumkan dengan cara yang sama seperti yang ditentukan dalam Pasal 620.,Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 714,"Selama hak numpang karang berjalan, pemilik tanah tidak boleh mencegah orang yang mempunyai hak itu untuk membongkar gedung atau bangunan atau menebang segala tanaman dan mengambil salah satu di antaranya, bila pemegang hak itu telah melunasi harga gedung, bangunan dan tanaman itu pada waktu memperoleh hak tersebut, atau bila gedung, bangunan dan tanaman itu didirikan, dibangun dan di tanam oleh pemegang hak itu sendiri, tanpa",Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 715,"Dengan berakhirnya hak numpang karang, pemilik pekarangan menjadi pemilik gedung, bangunan dan tanaman di atas pekarangan, dengan kewajiban membayar harganya pada saat itu juga kepada yang mempunyai hak numpang karang yang dalam hal ini berhak menahan sesuatu sampai pembayaran itu dilunasi.",Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 716,"Bila hak numpang karang diperoleh atas sebidang tanah yang diatasnya telah terdapat gedung- gedung, bangunan-bangunan dan tanaman-tanaman yang harganya tidak dilunasi oleh penerima hak numpang karang itu, maka pemilik tanah, pada waktu berakhirnya hak tersebut, dapat menguasai kembali semua benda itu tanpa wajib mengganti kerugian.",Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 717,Ketentuan-ketentuan dalam bab ini hanya berlaku sejauh tidak diadakan penyimpangan dalam suatu perjanjian.,Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 718,Hak numpang karang berakhir antara lain: karena percampuran;  karena musnahnya pekarangan; karena lewat waktu dengan tenggang waktu tiga puluh tahun lamanya; karena lewat waktu yang diperjanjikan atau ditentukan sewaktu hak numpang karang,Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 719,"Bia tidak diadakan suatu perjanjian atau ketentuanketentuan khusus tentang berakhirnya hak numpang karang, maka pemilik pekarangan berhak mengakhirinya sendiri, tetapi setelah hak itu berjalan selama tiga puluh tahun, dan sedikit-dikitnya satu tahun sebelumnya diberitahukan dengan surat oleh juru sita kepada yang mempunyai hak numpang karang.",Hak Numpang Karang,Tidak Terdapat Dalam Bagian
Pasal 720,"Hak guna usaha adalah hak kebendaan untuk menikmati sepenuhnya barang tak bergerak milik orang lain, dengan kewajiban membayar upeti tahunan kepada pemilik tanah, sebagai pengakuan tentang pemilikannya, baik berupa uang maupun berupa hasil atau pendapatan. Alas hak lahirnya hak guna usaha harus diumumkan dengan cara seperti yang ditentukan dalam Pasal 620.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 721,"Pemegang hak guna usaha menikmati segala hak yang terkandung dalam hak milik atas tanah yang ada dalam usahanya, tetapi ia tidak boleh berbuat sesuatu yang kiranya dapat menurunkan harga tanah itu. Dengan demikian ia tidak boleh antara lain melakukan penggalian batu, batu bara terpendam, tanah liat atau bagian tanah lain sejenis itu, kecuali bila penggalian itu memang sudah dimulai ketika hak itu diperolehnya.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 722,"Pohon-pohon yang mati atau roboh secara kebetulan selama hak guna usaha berjalan, menjadi bagian pemegang hak guna usaha, asal diganti dengan pohon lain. Demikian pula ia mempunyai kebebasan terhadap tanam-tanaman yang diselenggarakannya sendiri.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 723,"Pemilik tanah tidak wajib mengadakan suatu perbaikan. Sebaliknya pemegang hak guna usahalah yang berkewajiban memelihara barang yang ada dalam hak guna usaha tersebut dan melakukan perbaikan terhadap kerusakan-kerusakan yang biasa. Ia boleh memperbaiki tanah itu, dengan mendirikan gedung-gedung di atasnya, dengan membukanya atau menanaminya.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 724,"Ia berhak mengalihkan haknya kepada orang lain, membebaninya dengan hipotek dan membebani tanah yang dibebani hak guna usaha itu dengan pengabdian pekarangan selama jangka waktu hak guna usahanya.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 725,"Pada waktu berakhirnya hak guna usaha, ia boleh mengambil gedung yang didirikan dan tanaman yang diusahakan, yang menurut perjanjian tidak semestinya didirikan atau ditanam  tetapi bila tanah itu menjadi rusak karena pengambilan barang-barang itu, ia wajib mengganti kerugian. Namun demikian pemilik tanah berhak menahan barang-barang itu sampai pemegang hak guna usaha menunaikan segala kewajibannya.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 726,"Pemegang hak guna usaha tidak berhak menuntut pemilik tanah membayar harga gedung, bangunan, tanaman dan apa saja yang dibuat oleh yang tersebut pertama dan masih ada di atas tanah itu pada saat berakhirnya hak guna usaha.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 727,"Pemegang hak guna usaha harus membayar semua pajak yang dikenakan terhadap tanah itu, baik pajak biasa maupun pajak luar biasa, baik pajak tahunan maupun pajak yang harus dibayar hanya satu kali saja.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 728,"Kewajiban untuk membayar upeti tidak dapat dipecahpecah, dan harus ditanggung seluruhnya oleh pemegang hak guna usaha, walaupun tanah yang bersangkutan telah dibagi-bagi untuk beraneka usaha.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 729,"Pemegang hak guna usaha tidak dapat menuntut dibebaskan dari pembayaran upeti, baik karena hasilnya berkurang maupun karena hasilnya tidak ada lagi. Meskipun demikian. bila selama lima tahun berturut-turut pemegang hak guna usaha tidak memperoleh kenikmatan apa pun dari tanah itu, ia harus dibebaskan dari pembayaran upeti selama ia tidak memperoleh hasil.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 730,"Untuk setiap pengalihan hak guna usaha atau pembagian oleh suatu persekutuan, tidak diwajibkan membayar iuran istimewa.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 731,"Dengan berakhirnya hak guna usaha, pemilik tanah mempunyai tuntutan perseorangan terhadap pemegang hak usaha untuk mengganti biaya, kerugian dan bunga yang disebabkan pemegang hak guna usaha lalai dan kurang memelihara pekarangan dan untuk hak-hak yang akibat kesalahan pemegang hak guna usaha telah gugur karena lewat waktu.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 732,Bila hak guna usaha berakhir karena lewatnya waktu maka hak itu boleh berjalan terus sampai dihentikan.,Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 733,"Hak guna usaha dapat dicabut bila tanah rusak sama sekali atau sangat disalahgunakan, tanpa mengurangi tuntutan untuk mengganti biaya, kerugian dan bunga. Pencabutan dapat juga diucapkan karena kelalaian membayar uang upeti selama lima tahun berturut-turut dan setelah sia-sia ditegur oleh juru sita secara sah, sekurang-kurangnya enam minggu sebelum tuntutan diajukan.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 734,"Pemegang hak guna usaha dapat menghindarkan penghapusan hak guna usaha karena kerusakan yang diperbuat pada tanah atau karena penyalahgunaan hak, bila ia memperbaiki barang-barang itu sehingga kembali dalam keadaan seperti semula dan memberikan jaminan yang cukup untuk selanjutnya.",Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 735,Semua ketentuan dalam bab ini hanya berlaku selama dalam perjanjian kedua belah pihak tidak diadakan penyimpangan.,Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 736,Hak guna usaha berakhir menurut cara berakhirnya hak numpang karang sebagaimana ditentukan dalam Pasal 7l8 dan 719.,Hak Guna,Tidak Terdapat Dalam Bagian
Pasal 737,"Bunga tanah adalah beban utang yang harus dibayar, baik dengan uang maupun dengan hasil bumi yaitu beban yang diikatkan pada tanah oleh pemiliknya, atau diperjanjikan untuk kepentingan diri sendiri atau pihak ketiga ketika benda itu dijual kepada orang lain atau dihibahkan. Alas hak yang melahirkannya harus diumumkan",Bunga Tanah Dan Sepersepuluh,Tidak Terdapat Dalam Bagian
Pasal 738,"Bila bunga tanah dikenakan pada sebidang tanah tertentu, maka pemilik semula, kepada siap bunga harus dibayar, tidak lagi berhak menuntut pengembalian tanah, bila pembayaran bunga dilalaikan.",Bunga Tanah Dan Sepersepuluh,Tidak Terdapat Dalam Bagian
Pasal 739,"Beban utang bunga tanah melekat khusus pada tanah itu sendiri, dan dalam hal itu dibagi, seluruh beban melekat pada tiap bagian, dan bagaimanapun juga beban itu tidak akan membebani barang-barang lain milik orang yang menguasai tanah. Ketentuan yang lalu tidak berlaku terhadap beban utang yang harus dibayar dengan sebagian dari hasil tanah dalam perbandingan tertentu dengan hasil seluruhnya yang akan dibicarakan dalam pasal-pasal berikut.",Bunga Tanah Dan Sepersepuluh,Tidak Terdapat Dalam Bagian
Pasal 740,"Beban utang sepersepuluh atau suatu bagian dan hasil dalam perbandingan lain dengan jumlah seluruhnya, harus dilunasi dengan sekian bagian dari hasil seluruhnya, yang akan dibicarakan dalam pasal-pasal berikut.",Bunga Tanah Dan Sepersepuluh,Tidak Terdapat Dalam Bagian
